Restaurant ID,Restaurant Name,Segment,Email,Phone,Website,Day 0 Subject,Day 0 Body,Day 3 Subject,Day 3 Body,Day 7 Subject,Day 7 Body
cmh5jye78001nnyp6u3axw4b1,"Beans & Brews Coffee House","High-Value Targets",,(281) 401-9319,https://www.beansandbrews.com/coffee-shops/brookshire-jordan-ranch/,"Beans & Brews Coffee House - You're Missing 10,000+ Monthly Diners 🍽️","Hi Beans & Brews Coffee House team,

I noticed Beans & Brews Coffee House has an impressive 4.3/5 rating with 61+ reviews - that's fantastic!

However, you're currently missing out on **10,000+ monthly diners** who are actively searching ""restaurants near me in Katy"" on eKaty.com.

**Here's what's happening right now:**
• 10,000+ Katy residents visit eKaty.com monthly
• They're searching for Bakery like yours
• Your competitors are getting featured placement
• You're not showing up in our ""Top Rated"" sections

**Good news:** We've already created your FREE profile page at:
https://ekaty.com/restaurants/beans-brews-coffee-house

**Want to get discovered?**
✅ Claim your listing (FREE)
✅ Add your specials and photos
✅ Get featured placement for just $99/month
✅ Start getting more customers THIS WEEK

**Limited Time:**
First 50 restaurants get Featured Placement at 50% OFF ($49/month for 3 months)

Looking forward to helping Beans & Brews Coffee House reach more diners!

Best,
James
Founder, eKaty.com
P: (281) 401-9319","Re: Beans & Brews Coffee House - Quick question","Hi Beans & Brews Coffee House team,

I sent you an email a few days ago about getting more visibility on eKaty.com.

**Quick question:** What's holding you back from claiming your profile?

Is it:
→ Not sure it's worth it?
→ Too busy right now?
→ Want to see proof it works?
→ Have questions about pricing?

Let me know and I'll help!

Also, here are some quick stats from this week:
• 12,450 restaurant searches on eKaty.com
• 4,200 ""kids eat free"" searches
• 2,800 ""happy hour near me"" searches
• 1,500 ""Bakery"" searches

Your competitors are capturing these customers.

Want to grab your share?

Best,
James
eKaty.com
james@ekaty.com

P.S. - Still offering 50% off first month for quick decisions!","[FINAL] Beans & Brews Coffee House - Your spot is about to be taken","Hi Beans & Brews Coffee House team,

**This is my last email.**

I've reached out a couple times about getting Beans & Brews Coffee House featured on eKaty.com.

**Here's the situation:**
• We have limited Featured spots available
• Your competitors are signing up
• The 50% off offer expires in 48 hours
• After that, full price ($99/month) or the spot goes to someone else

**Decision time:**
→ Say YES: Get featured, capture 10,000+ monthly diners, grow revenue
→ Say NO: Stay invisible while competitors win

No hard feelings either way, but I wanted to give you one last chance before offering your spot to the next restaurant on our waitlist.

**Reply ""YES"" to this email or click below to claim your spot:**

Best,
James
eKaty.com
james@ekaty.com

P.S. - Even if you're not interested in Featured, at least claim your FREE profile so you show up in search results. Takes 2 minutes:
https://ekaty.com/restaurants/beans-brews-coffee-house?claim=true"
cmh5jye8d001unyp6iox37c89,"Texana Cafe","High-Value Targets",,(832) 471-7903,https://www.texanacafe.com/,"Texana Cafe - You're Missing 10,000+ Monthly Diners 🍽️","Hi Texana Cafe team,

I noticed Texana Cafe has an impressive 4.8/5 rating with 74+ reviews - that's fantastic!

However, you're currently missing out on **10,000+ monthly diners** who are actively searching ""restaurants near me in Katy"" on eKaty.com.

**Here's what's happening right now:**
• 10,000+ Katy residents visit eKaty.com monthly
• They're searching for Bakery like yours
• Your competitors are getting featured placement
• You're not showing up in our ""Top Rated"" sections

**Good news:** We've already created your FREE profile page at:
https://ekaty.com/restaurants/texana-cafe

**Want to get discovered?**
✅ Claim your listing (FREE)
✅ Add your specials and photos
✅ Get featured placement for just $99/month
✅ Start getting more customers THIS WEEK

**Limited Time:**
First 50 restaurants get Featured Placement at 50% OFF ($49/month for 3 months)

Looking forward to helping Texana Cafe reach more diners!

Best,
James
Founder, eKaty.com
P: (832) 471-7903","Re: Texana Cafe - Quick question","Hi Texana Cafe team,

I sent you an email a few days ago about getting more visibility on eKaty.com.

**Quick question:** What's holding you back from claiming your profile?

Is it:
→ Not sure it's worth it?
→ Too busy right now?
→ Want to see proof it works?
→ Have questions about pricing?

Let me know and I'll help!

Also, here are some quick stats from this week:
• 12,450 restaurant searches on eKaty.com
• 4,200 ""kids eat free"" searches
• 2,800 ""happy hour near me"" searches
• 1,500 ""Bakery"" searches

Your competitors are capturing these customers.

Want to grab your share?

Best,
James
eKaty.com
james@ekaty.com

P.S. - Still offering 50% off first month for quick decisions!","[FINAL] Texana Cafe - Your spot is about to be taken","Hi Texana Cafe team,

**This is my last email.**

I've reached out a couple times about getting Texana Cafe featured on eKaty.com.

**Here's the situation:**
• We have limited Featured spots available
• Your competitors are signing up
• The 50% off offer expires in 48 hours
• After that, full price ($99/month) or the spot goes to someone else

**Decision time:**
→ Say YES: Get featured, capture 10,000+ monthly diners, grow revenue
→ Say NO: Stay invisible while competitors win

No hard feelings either way, but I wanted to give you one last chance before offering your spot to the next restaurant on our waitlist.

**Reply ""YES"" to this email or click below to claim your spot:**

Best,
James
eKaty.com
james@ekaty.com

P.S. - Even if you're not interested in Featured, at least claim your FREE profile so you show up in search results. Takes 2 minutes:
https://ekaty.com/restaurants/texana-cafe?claim=true"
cmh5jyead0024nyp6zo8oomzt,"Bruster's Real Ice Cream","High-Value Targets",,(281) 789-8813,http://www.brusters.com/locations/katy/428,"Bruster's Real Ice Cream - You're Missing 10,000+ Monthly Diners 🍽️","Hi Bruster's Real Ice Cream team,

I noticed Bruster's Real Ice Cream has an impressive 4.8/5 rating with 95+ reviews - that's fantastic!

However, you're currently missing out on **10,000+ monthly diners** who are actively searching ""restaurants near me in Katy"" on eKaty.com.

**Here's what's happening right now:**
• 10,000+ Katy residents visit eKaty.com monthly
• They're searching for Bakery like yours
• Your competitors are getting featured placement
• You're not showing up in our ""Top Rated"" sections

**Good news:** We've already created your FREE profile page at:
https://ekaty.com/restaurants/bruster-s-real-ice-cream

**Want to get discovered?**
✅ Claim your listing (FREE)
✅ Add your specials and photos
✅ Get featured placement for just $99/month
✅ Start getting more customers THIS WEEK

**Limited Time:**
First 50 restaurants get Featured Placement at 50% OFF ($49/month for 3 months)

Looking forward to helping Bruster's Real Ice Cream reach more diners!

Best,
James
Founder, eKaty.com
P: (281) 789-8813","Re: Bruster's Real Ice Cream - Quick question","Hi Bruster's Real Ice Cream team,

I sent you an email a few days ago about getting more visibility on eKaty.com.

**Quick question:** What's holding you back from claiming your profile?

Is it:
→ Not sure it's worth it?
→ Too busy right now?
→ Want to see proof it works?
→ Have questions about pricing?

Let me know and I'll help!

Also, here are some quick stats from this week:
• 12,450 restaurant searches on eKaty.com
• 4,200 ""kids eat free"" searches
• 2,800 ""happy hour near me"" searches
• 1,500 ""Bakery"" searches

Your competitors are capturing these customers.

Want to grab your share?

Best,
James
eKaty.com
james@ekaty.com

P.S. - Still offering 50% off first month for quick decisions!","[FINAL] Bruster's Real Ice Cream - Your spot is about to be taken","Hi Bruster's Real Ice Cream team,

**This is my last email.**

I've reached out a couple times about getting Bruster's Real Ice Cream featured on eKaty.com.

**Here's the situation:**
• We have limited Featured spots available
• Your competitors are signing up
• The 50% off offer expires in 48 hours
• After that, full price ($99/month) or the spot goes to someone else

**Decision time:**
→ Say YES: Get featured, capture 10,000+ monthly diners, grow revenue
→ Say NO: Stay invisible while competitors win

No hard feelings either way, but I wanted to give you one last chance before offering your spot to the next restaurant on our waitlist.

**Reply ""YES"" to this email or click below to claim your spot:**

Best,
James
eKaty.com
james@ekaty.com

P.S. - Even if you're not interested in Featured, at least claim your FREE profile so you show up in search results. Takes 2 minutes:
https://ekaty.com/restaurants/bruster-s-real-ice-cream?claim=true"
cmh5jyeb30029nyp6jv5b1bbw,"Asian Wok","High-Value Targets",,(281) 346-8122,http://www.asianwoktx.com/,"Asian Wok - You're Missing 10,000+ Monthly Diners 🍽️","Hi Asian Wok team,

I noticed Asian Wok has an impressive 4.3/5 rating with 101+ reviews - that's fantastic!

However, you're currently missing out on **10,000+ monthly diners** who are actively searching ""restaurants near me in Katy"" on eKaty.com.

**Here's what's happening right now:**
• 10,000+ Katy residents visit eKaty.com monthly
• They're searching for Asian like yours
• Your competitors are getting featured placement
• You're not showing up in our ""Top Rated"" sections

**Good news:** We've already created your FREE profile page at:
https://ekaty.com/restaurants/asian-wok

**Want to get discovered?**
✅ Claim your listing (FREE)
✅ Add your specials and photos
✅ Get featured placement for just $99/month
✅ Start getting more customers THIS WEEK

**Limited Time:**
First 50 restaurants get Featured Placement at 50% OFF ($49/month for 3 months)

Looking forward to helping Asian Wok reach more diners!

Best,
James
Founder, eKaty.com
P: (281) 346-8122","Re: Asian Wok - Quick question","Hi Asian Wok team,

I sent you an email a few days ago about getting more visibility on eKaty.com.

**Quick question:** What's holding you back from claiming your profile?

Is it:
→ Not sure it's worth it?
→ Too busy right now?
→ Want to see proof it works?
→ Have questions about pricing?

Let me know and I'll help!

Also, here are some quick stats from this week:
• 12,450 restaurant searches on eKaty.com
• 4,200 ""kids eat free"" searches
• 2,800 ""happy hour near me"" searches
• 1,500 ""Asian"" searches

Your competitors are capturing these customers.

Want to grab your share?

Best,
James
eKaty.com
james@ekaty.com

P.S. - Still offering 50% off first month for quick decisions!","[FINAL] Asian Wok - Your spot is about to be taken","Hi Asian Wok team,

**This is my last email.**

I've reached out a couple times about getting Asian Wok featured on eKaty.com.

**Here's the situation:**
• We have limited Featured spots available
• Your competitors are signing up
• The 50% off offer expires in 48 hours
• After that, full price ($99/month) or the spot goes to someone else

**Decision time:**
→ Say YES: Get featured, capture 10,000+ monthly diners, grow revenue
→ Say NO: Stay invisible while competitors win

No hard feelings either way, but I wanted to give you one last chance before offering your spot to the next restaurant on our waitlist.

**Reply ""YES"" to this email or click below to claim your spot:**

Best,
James
eKaty.com
james@ekaty.com

P.S. - Even if you're not interested in Featured, at least claim your FREE profile so you show up in search results. Takes 2 minutes:
https://ekaty.com/restaurants/asian-wok?claim=true"
cmhcu3s450002eqk6iq23bong,"Los Cucos Mexican Cafe","High-Value Targets",,(281) 644-6808,http://www.loscucos.com/,"Los Cucos Mexican Cafe - You're Missing 10,000+ Monthly Diners 🍽️","Hi Los Cucos Mexican Cafe team,

I noticed Los Cucos Mexican Cafe has an impressive 4.2/5 rating with 2985+ reviews - that's fantastic!

However, you're currently missing out on **10,000+ monthly diners** who are actively searching ""restaurants near me in Katy"" on eKaty.com.

**Here's what's happening right now:**
• 10,000+ Katy residents visit eKaty.com monthly
• They're searching for Restaurant like yours
• Your competitors are getting featured placement
• You're not showing up in our ""Top Rated"" sections

**Good news:** We've already created your FREE profile page at:
https://ekaty.com/restaurants/los-cucos-mexican-cafe

**Want to get discovered?**
✅ Claim your listing (FREE)
✅ Add your specials and photos
✅ Get featured placement for just $99/month
✅ Start getting more customers THIS WEEK

**Limited Time:**
First 50 restaurants get Featured Placement at 50% OFF ($49/month for 3 months)

Looking forward to helping Los Cucos Mexican Cafe reach more diners!

Best,
James
Founder, eKaty.com
P: (281) 644-6808","Re: Los Cucos Mexican Cafe - Quick question","Hi Los Cucos Mexican Cafe team,

I sent you an email a few days ago about getting more visibility on eKaty.com.

**Quick question:** What's holding you back from claiming your profile?

Is it:
→ Not sure it's worth it?
→ Too busy right now?
→ Want to see proof it works?
→ Have questions about pricing?

Let me know and I'll help!

Also, here are some quick stats from this week:
• 12,450 restaurant searches on eKaty.com
• 4,200 ""kids eat free"" searches
• 2,800 ""happy hour near me"" searches
• 1,500 ""Restaurant"" searches

Your competitors are capturing these customers.

Want to grab your share?

Best,
James
eKaty.com
james@ekaty.com

P.S. - Still offering 50% off first month for quick decisions!","[FINAL] Los Cucos Mexican Cafe - Your spot is about to be taken","Hi Los Cucos Mexican Cafe team,

**This is my last email.**

I've reached out a couple times about getting Los Cucos Mexican Cafe featured on eKaty.com.

**Here's the situation:**
• We have limited Featured spots available
• Your competitors are signing up
• The 50% off offer expires in 48 hours
• After that, full price ($99/month) or the spot goes to someone else

**Decision time:**
→ Say YES: Get featured, capture 10,000+ monthly diners, grow revenue
→ Say NO: Stay invisible while competitors win

No hard feelings either way, but I wanted to give you one last chance before offering your spot to the next restaurant on our waitlist.

**Reply ""YES"" to this email or click below to claim your spot:**

Best,
James
eKaty.com
james@ekaty.com

P.S. - Even if you're not interested in Featured, at least claim your FREE profile so you show up in search results. Takes 2 minutes:
https://ekaty.com/restaurants/los-cucos-mexican-cafe?claim=true"
cmhcu3s4b0003eqk64oo0wwq5,"Outback Steakhouse","High-Value Targets",,(281) 492-2225,https://locations.outback.com/texas/katy/24600-katy-freeway?utm_source=gmb&utm_medium=local_search&utm_campaign=website_cta&y_source=1_MTU1MDI0MzQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"Outback Steakhouse - You're Missing 10,000+ Monthly Diners 🍽️","Hi Outback Steakhouse team,

I noticed Outback Steakhouse has an impressive 4.3/5 rating with 2982+ reviews - that's fantastic!

However, you're currently missing out on **10,000+ monthly diners** who are actively searching ""restaurants near me in Katy"" on eKaty.com.

**Here's what's happening right now:**
• 10,000+ Katy residents visit eKaty.com monthly
• They're searching for Bar,Meal Takeaway like yours
• Your competitors are getting featured placement
• You're not showing up in our ""Top Rated"" sections

**Good news:** We've already created your FREE profile page at:
https://ekaty.com/restaurants/outback-steakhouse

**Want to get discovered?**
✅ Claim your listing (FREE)
✅ Add your specials and photos
✅ Get featured placement for just $99/month
✅ Start getting more customers THIS WEEK

**Limited Time:**
First 50 restaurants get Featured Placement at 50% OFF ($49/month for 3 months)

Looking forward to helping Outback Steakhouse reach more diners!

Best,
James
Founder, eKaty.com
P: (281) 492-2225","Re: Outback Steakhouse - Quick question","Hi Outback Steakhouse team,

I sent you an email a few days ago about getting more visibility on eKaty.com.

**Quick question:** What's holding you back from claiming your profile?

Is it:
→ Not sure it's worth it?
→ Too busy right now?
→ Want to see proof it works?
→ Have questions about pricing?

Let me know and I'll help!

Also, here are some quick stats from this week:
• 12,450 restaurant searches on eKaty.com
• 4,200 ""kids eat free"" searches
• 2,800 ""happy hour near me"" searches
• 1,500 ""Bar,Meal Takeaway"" searches

Your competitors are capturing these customers.

Want to grab your share?

Best,
James
eKaty.com
james@ekaty.com

P.S. - Still offering 50% off first month for quick decisions!","[FINAL] Outback Steakhouse - Your spot is about to be taken","Hi Outback Steakhouse team,

**This is my last email.**

I've reached out a couple times about getting Outback Steakhouse featured on eKaty.com.

**Here's the situation:**
• We have limited Featured spots available
• Your competitors are signing up
• The 50% off offer expires in 48 hours
• After that, full price ($99/month) or the spot goes to someone else

**Decision time:**
→ Say YES: Get featured, capture 10,000+ monthly diners, grow revenue
→ Say NO: Stay invisible while competitors win

No hard feelings either way, but I wanted to give you one last chance before offering your spot to the next restaurant on our waitlist.

**Reply ""YES"" to this email or click below to claim your spot:**

Best,
James
eKaty.com
james@ekaty.com

P.S. - Even if you're not interested in Featured, at least claim your FREE profile so you show up in search results. Takes 2 minutes:
https://ekaty.com/restaurants/outback-steakhouse?claim=true"
cmhcu3s4h0004eqk6llo2ostg,"Red Lobster","High-Value Targets",,(281) 644-6030,https://www.redlobster.com/seafood-restaurants/locations/tx/katy/25408-bell-patna,"Red Lobster - You're Missing 10,000+ Monthly Diners 🍽️","Hi Red Lobster team,

I noticed Red Lobster has an impressive 4.3/5 rating with 3337+ reviews - that's fantastic!

However, you're currently missing out on **10,000+ monthly diners** who are actively searching ""restaurants near me in Katy"" on eKaty.com.

**Here's what's happening right now:**
• 10,000+ Katy residents visit eKaty.com monthly
• They're searching for Restaurant like yours
• Your competitors are getting featured placement
• You're not showing up in our ""Top Rated"" sections

**Good news:** We've already created your FREE profile page at:
https://ekaty.com/restaurants/red-lobster

**Want to get discovered?**
✅ Claim your listing (FREE)
✅ Add your specials and photos
✅ Get featured placement for just $99/month
✅ Start getting more customers THIS WEEK

**Limited Time:**
First 50 restaurants get Featured Placement at 50% OFF ($49/month for 3 months)

Looking forward to helping Red Lobster reach more diners!

Best,
James
Founder, eKaty.com
P: (281) 644-6030","Re: Red Lobster - Quick question","Hi Red Lobster team,

I sent you an email a few days ago about getting more visibility on eKaty.com.

**Quick question:** What's holding you back from claiming your profile?

Is it:
→ Not sure it's worth it?
→ Too busy right now?
→ Want to see proof it works?
→ Have questions about pricing?

Let me know and I'll help!

Also, here are some quick stats from this week:
• 12,450 restaurant searches on eKaty.com
• 4,200 ""kids eat free"" searches
• 2,800 ""happy hour near me"" searches
• 1,500 ""Restaurant"" searches

Your competitors are capturing these customers.

Want to grab your share?

Best,
James
eKaty.com
james@ekaty.com

P.S. - Still offering 50% off first month for quick decisions!","[FINAL] Red Lobster - Your spot is about to be taken","Hi Red Lobster team,

**This is my last email.**

I've reached out a couple times about getting Red Lobster featured on eKaty.com.

**Here's the situation:**
• We have limited Featured spots available
• Your competitors are signing up
• The 50% off offer expires in 48 hours
• After that, full price ($99/month) or the spot goes to someone else

**Decision time:**
→ Say YES: Get featured, capture 10,000+ monthly diners, grow revenue
→ Say NO: Stay invisible while competitors win

No hard feelings either way, but I wanted to give you one last chance before offering your spot to the next restaurant on our waitlist.

**Reply ""YES"" to this email or click below to claim your spot:**

Best,
James
eKaty.com
james@ekaty.com

P.S. - Even if you're not interested in Featured, at least claim your FREE profile so you show up in search results. Takes 2 minutes:
https://ekaty.com/restaurants/red-lobster?claim=true"
cmhcu3s590007eqk63rgqch6v,"Beijing Ranch","High-Value Targets",,(832) 437-7002,https://beijingranchtogo.com/,"Beijing Ranch - You're Missing 10,000+ Monthly Diners 🍽️","Hi Beijing Ranch team,

I noticed Beijing Ranch has an impressive 4/5 rating with 261+ reviews - that's fantastic!

However, you're currently missing out on **10,000+ monthly diners** who are actively searching ""restaurants near me in Katy"" on eKaty.com.

**Here's what's happening right now:**
• 10,000+ Katy residents visit eKaty.com monthly
• They're searching for Restaurant like yours
• Your competitors are getting featured placement
• You're not showing up in our ""Top Rated"" sections

**Good news:** We've already created your FREE profile page at:
https://ekaty.com/restaurants/beijing-ranch

**Want to get discovered?**
✅ Claim your listing (FREE)
✅ Add your specials and photos
✅ Get featured placement for just $99/month
✅ Start getting more customers THIS WEEK

**Limited Time:**
First 50 restaurants get Featured Placement at 50% OFF ($49/month for 3 months)

Looking forward to helping Beijing Ranch reach more diners!

Best,
James
Founder, eKaty.com
P: (832) 437-7002","Re: Beijing Ranch - Quick question","Hi Beijing Ranch team,

I sent you an email a few days ago about getting more visibility on eKaty.com.

**Quick question:** What's holding you back from claiming your profile?

Is it:
→ Not sure it's worth it?
→ Too busy right now?
→ Want to see proof it works?
→ Have questions about pricing?

Let me know and I'll help!

Also, here are some quick stats from this week:
• 12,450 restaurant searches on eKaty.com
• 4,200 ""kids eat free"" searches
• 2,800 ""happy hour near me"" searches
• 1,500 ""Restaurant"" searches

Your competitors are capturing these customers.

Want to grab your share?

Best,
James
eKaty.com
james@ekaty.com

P.S. - Still offering 50% off first month for quick decisions!","[FINAL] Beijing Ranch - Your spot is about to be taken","Hi Beijing Ranch team,

**This is my last email.**

I've reached out a couple times about getting Beijing Ranch featured on eKaty.com.

**Here's the situation:**
• We have limited Featured spots available
• Your competitors are signing up
• The 50% off offer expires in 48 hours
• After that, full price ($99/month) or the spot goes to someone else

**Decision time:**
→ Say YES: Get featured, capture 10,000+ monthly diners, grow revenue
→ Say NO: Stay invisible while competitors win

No hard feelings either way, but I wanted to give you one last chance before offering your spot to the next restaurant on our waitlist.

**Reply ""YES"" to this email or click below to claim your spot:**

Best,
James
eKaty.com
james@ekaty.com

P.S. - Even if you're not interested in Featured, at least claim your FREE profile so you show up in search results. Takes 2 minutes:
https://ekaty.com/restaurants/beijing-ranch?claim=true"
cmhcu3s5m0009eqk6kgcxwqzo,"Stars Sports Bar & Grill","High-Value Targets",,(281) 693-0700,https://www.starssportsbar.com/,"Stars Sports Bar & Grill - You're Missing 10,000+ Monthly Diners 🍽️","Hi Stars Sports Bar & Grill team,

I noticed Stars Sports Bar & Grill has an impressive 4.3/5 rating with 509+ reviews - that's fantastic!

However, you're currently missing out on **10,000+ monthly diners** who are actively searching ""restaurants near me in Katy"" on eKaty.com.

**Here's what's happening right now:**
• 10,000+ Katy residents visit eKaty.com monthly
• They're searching for Bar & Grill like yours
• Your competitors are getting featured placement
• You're not showing up in our ""Top Rated"" sections

**Good news:** We've already created your FREE profile page at:
https://ekaty.com/restaurants/stars-sports-bar-grill

**Want to get discovered?**
✅ Claim your listing (FREE)
✅ Add your specials and photos
✅ Get featured placement for just $99/month
✅ Start getting more customers THIS WEEK

**Limited Time:**
First 50 restaurants get Featured Placement at 50% OFF ($49/month for 3 months)

Looking forward to helping Stars Sports Bar & Grill reach more diners!

Best,
James
Founder, eKaty.com
P: (281) 693-0700","Re: Stars Sports Bar & Grill - Quick question","Hi Stars Sports Bar & Grill team,

I sent you an email a few days ago about getting more visibility on eKaty.com.

**Quick question:** What's holding you back from claiming your profile?

Is it:
→ Not sure it's worth it?
→ Too busy right now?
→ Want to see proof it works?
→ Have questions about pricing?

Let me know and I'll help!

Also, here are some quick stats from this week:
• 12,450 restaurant searches on eKaty.com
• 4,200 ""kids eat free"" searches
• 2,800 ""happy hour near me"" searches
• 1,500 ""Bar & Grill"" searches

Your competitors are capturing these customers.

Want to grab your share?

Best,
James
eKaty.com
james@ekaty.com

P.S. - Still offering 50% off first month for quick decisions!","[FINAL] Stars Sports Bar & Grill - Your spot is about to be taken","Hi Stars Sports Bar & Grill team,

**This is my last email.**

I've reached out a couple times about getting Stars Sports Bar & Grill featured on eKaty.com.

**Here's the situation:**
• We have limited Featured spots available
• Your competitors are signing up
• The 50% off offer expires in 48 hours
• After that, full price ($99/month) or the spot goes to someone else

**Decision time:**
→ Say YES: Get featured, capture 10,000+ monthly diners, grow revenue
→ Say NO: Stay invisible while competitors win

No hard feelings either way, but I wanted to give you one last chance before offering your spot to the next restaurant on our waitlist.

**Reply ""YES"" to this email or click below to claim your spot:**

Best,
James
eKaty.com
james@ekaty.com

P.S. - Even if you're not interested in Featured, at least claim your FREE profile so you show up in search results. Takes 2 minutes:
https://ekaty.com/restaurants/stars-sports-bar-grill?claim=true"
cmhcu3s5r000aeqk6ixy2c8cu,"Antonia's Restaurant","High-Value Targets",,(281) 644-6000,https://antonias.us/,"Antonia's Restaurant - You're Missing 10,000+ Monthly Diners 🍽️","Hi Antonia's Restaurant team,

I noticed Antonia's Restaurant has an impressive 4.4/5 rating with 1160+ reviews - that's fantastic!

However, you're currently missing out on **10,000+ monthly diners** who are actively searching ""restaurants near me in Katy"" on eKaty.com.

**Here's what's happening right now:**
• 10,000+ Katy residents visit eKaty.com monthly
• They're searching for Restaurant like yours
• Your competitors are getting featured placement
• You're not showing up in our ""Top Rated"" sections

**Good news:** We've already created your FREE profile page at:
https://ekaty.com/restaurants/antonia-s-restaurant

**Want to get discovered?**
✅ Claim your listing (FREE)
✅ Add your specials and photos
✅ Get featured placement for just $99/month
✅ Start getting more customers THIS WEEK

**Limited Time:**
First 50 restaurants get Featured Placement at 50% OFF ($49/month for 3 months)

Looking forward to helping Antonia's Restaurant reach more diners!

Best,
James
Founder, eKaty.com
P: (281) 644-6000","Re: Antonia's Restaurant - Quick question","Hi Antonia's Restaurant team,

I sent you an email a few days ago about getting more visibility on eKaty.com.

**Quick question:** What's holding you back from claiming your profile?

Is it:
→ Not sure it's worth it?
→ Too busy right now?
→ Want to see proof it works?
→ Have questions about pricing?

Let me know and I'll help!

Also, here are some quick stats from this week:
• 12,450 restaurant searches on eKaty.com
• 4,200 ""kids eat free"" searches
• 2,800 ""happy hour near me"" searches
• 1,500 ""Restaurant"" searches

Your competitors are capturing these customers.

Want to grab your share?

Best,
James
eKaty.com
james@ekaty.com

P.S. - Still offering 50% off first month for quick decisions!","[FINAL] Antonia's Restaurant - Your spot is about to be taken","Hi Antonia's Restaurant team,

**This is my last email.**

I've reached out a couple times about getting Antonia's Restaurant featured on eKaty.com.

**Here's the situation:**
• We have limited Featured spots available
• Your competitors are signing up
• The 50% off offer expires in 48 hours
• After that, full price ($99/month) or the spot goes to someone else

**Decision time:**
→ Say YES: Get featured, capture 10,000+ monthly diners, grow revenue
→ Say NO: Stay invisible while competitors win

No hard feelings either way, but I wanted to give you one last chance before offering your spot to the next restaurant on our waitlist.

**Reply ""YES"" to this email or click below to claim your spot:**

Best,
James
eKaty.com
james@ekaty.com

P.S. - Even if you're not interested in Featured, at least claim your FREE profile so you show up in search results. Takes 2 minutes:
https://ekaty.com/restaurants/antonia-s-restaurant?claim=true"
