Phone,Restaurant Name,Message 1,Message 2,Message 3,Profile URL
(281) 204-3963,"Mena Plaza","Hi Mena Plaza! We built you a FREE website at ekaty.com/restaurants/mena-plaza. Claim it in 2 min to get more customers. -James, eKaty","Quick follow-up - Did you see your FREE profile page? 10K+ people search restaurants in Katy monthly. Claim yours: ekaty.com/restaurants/mena-plaza -James","Last chance Mena Plaza! Your FREE listing expires soon. Takes 2 min to claim: ekaty.com/restaurants/mena-plaza?claim=true Reply STOP to opt out. -James",https://ekaty.com/restaurants/mena-plaza
(832) 887-0943,"Taco Express","Hi Taco Express! We built you a FREE website at ekaty.com/restaurants/taco-express. Claim it in 2 min to get more customers. -James, eKaty","Quick follow-up - Did you see your FREE profile page? 10K+ people search restaurants in Katy monthly. Claim yours: ekaty.com/restaurants/taco-express -James","Last chance Taco Express! Your FREE listing expires soon. Takes 2 min to claim: ekaty.com/restaurants/taco-express?claim=true Reply STOP to opt out. -James",https://ekaty.com/restaurants/taco-express
(832) 875-2018,"El Norteño Pollos Asados Estilo Monterrey (Charcoal cooked chicken, Mexican food)","Hi El Norteño Pollos Asados Estilo Monterrey (Charcoal cooked chicken, Mexican food)! We built you a FREE website at ekaty.com/restaurants/el-norte-o-pollos-asados-estilo-monterrey-charcoal-cooked-chicken-mexican-food. Claim it in 2 min to get more customers. -James, eKaty","Quick follow-up - Did you see your FREE profile page? 10K+ people search restaurants in Katy monthly. Claim yours: ekaty.com/restaurants/el-norte-o-pollos-asados-estilo-monterrey-charcoal-cooked-chicken-mexican-food -James","Last chance El Norteño Pollos Asados Estilo Monterrey (Charcoal cooked chicken, Mexican food)! Your FREE listing expires soon. Takes 2 min to claim: ekaty.com/restaurants/el-norte-o-pollos-asados-estilo-monterrey-charcoal-cooked-chicken-mexican-food?claim=true Reply STOP to opt out. -James",https://ekaty.com/restaurants/el-norte-o-pollos-asados-estilo-monterrey-charcoal-cooked-chicken-mexican-food
(832) 526-5265,"La Pantera Rosa","Hi La Pantera Rosa! We built you a FREE website at ekaty.com/restaurants/la-pantera-rosa. Claim it in 2 min to get more customers. -James, eKaty","Quick follow-up - Did you see your FREE profile page? 10K+ people search restaurants in Katy monthly. Claim yours: ekaty.com/restaurants/la-pantera-rosa -James","Last chance La Pantera Rosa! Your FREE listing expires soon. Takes 2 min to claim: ekaty.com/restaurants/la-pantera-rosa?claim=true Reply STOP to opt out. -James",https://ekaty.com/restaurants/la-pantera-rosa
(929) 247-6865,"Island Twist 473","Hi Island Twist 473! We built you a FREE website at ekaty.com/restaurants/island-twist-473. Claim it in 2 min to get more customers. -James, eKaty","Quick follow-up - Did you see your FREE profile page? 10K+ people search restaurants in Katy monthly. Claim yours: ekaty.com/restaurants/island-twist-473 -James","Last chance Island Twist 473! Your FREE listing expires soon. Takes 2 min to claim: ekaty.com/restaurants/island-twist-473?claim=true Reply STOP to opt out. -James",https://ekaty.com/restaurants/island-twist-473
(281) 392-3644,"Doña Tere Meat Market","Hi Doña Tere Meat Market! We built you a FREE website at ekaty.com/restaurants/do-a-tere-meat-market. Claim it in 2 min to get more customers. -James, eKaty","Quick follow-up - Did you see your FREE profile page? 10K+ people search restaurants in Katy monthly. Claim yours: ekaty.com/restaurants/do-a-tere-meat-market -James","Last chance Doña Tere Meat Market! Your FREE listing expires soon. Takes 2 min to claim: ekaty.com/restaurants/do-a-tere-meat-market?claim=true Reply STOP to opt out. -James",https://ekaty.com/restaurants/do-a-tere-meat-market
(346) 390-1683,"Taco Chile","Hi Taco Chile! We built you a FREE website at ekaty.com/restaurants/taco-chile. Claim it in 2 min to get more customers. -James, eKaty","Quick follow-up - Did you see your FREE profile page? 10K+ people search restaurants in Katy monthly. Claim yours: ekaty.com/restaurants/taco-chile -James","Last chance Taco Chile! Your FREE listing expires soon. Takes 2 min to claim: ekaty.com/restaurants/taco-chile?claim=true Reply STOP to opt out. -James",https://ekaty.com/restaurants/taco-chile
(713) 955-5803,"Starbucks","Hi Starbucks! We built you a FREE website at ekaty.com/restaurants/starbucks. Claim it in 2 min to get more customers. -James, eKaty","Quick follow-up - Did you see your FREE profile page? 10K+ people search restaurants in Katy monthly. Claim yours: ekaty.com/restaurants/starbucks -James","Last chance Starbucks! Your FREE listing expires soon. Takes 2 min to claim: ekaty.com/restaurants/starbucks?claim=true Reply STOP to opt out. -James",https://ekaty.com/restaurants/starbucks
(832) 437-0579,"Please and Thank You Home Cooking","Hi Please and Thank You Home Cooking! We built you a FREE website at ekaty.com/restaurants/please-and-thank-you-home-cooking. Claim it in 2 min to get more customers. -James, eKaty","Quick follow-up - Did you see your FREE profile page? 10K+ people search restaurants in Katy monthly. Claim yours: ekaty.com/restaurants/please-and-thank-you-home-cooking -James","Last chance Please and Thank You Home Cooking! Your FREE listing expires soon. Takes 2 min to claim: ekaty.com/restaurants/please-and-thank-you-home-cooking?claim=true Reply STOP to opt out. -James",https://ekaty.com/restaurants/please-and-thank-you-home-cooking
(747) 279-9392,"Buchi's Pot","Hi Buchi's Pot! We built you a FREE website at ekaty.com/restaurants/buchi-s-pot. Claim it in 2 min to get more customers. -James, eKaty","Quick follow-up - Did you see your FREE profile page? 10K+ people search restaurants in Katy monthly. Claim yours: ekaty.com/restaurants/buchi-s-pot -James","Last chance Buchi's Pot! Your FREE listing expires soon. Takes 2 min to claim: ekaty.com/restaurants/buchi-s-pot?claim=true Reply STOP to opt out. -James",https://ekaty.com/restaurants/buchi-s-pot
(346) 770-9886,"apricotecommcerce","Hi apricotecommcerce! We built you a FREE website at ekaty.com/restaurants/apricotecommcerce. Claim it in 2 min to get more customers. -James, eKaty","Quick follow-up - Did you see your FREE profile page? 10K+ people search restaurants in Katy monthly. Claim yours: ekaty.com/restaurants/apricotecommcerce -James","Last chance apricotecommcerce! Your FREE listing expires soon. Takes 2 min to claim: ekaty.com/restaurants/apricotecommcerce?claim=true Reply STOP to opt out. -James",https://ekaty.com/restaurants/apricotecommcerce
(281) 908-9594,"Cajun Comforts","Hi Cajun Comforts! We built you a FREE website at ekaty.com/restaurants/cajun-comforts. Claim it in 2 min to get more customers. -James, eKaty","Quick follow-up - Did you see your FREE profile page? 10K+ people search restaurants in Katy monthly. Claim yours: ekaty.com/restaurants/cajun-comforts -James","Last chance Cajun Comforts! Your FREE listing expires soon. Takes 2 min to claim: ekaty.com/restaurants/cajun-comforts?claim=true Reply STOP to opt out. -James",https://ekaty.com/restaurants/cajun-comforts
(786) 277-9153,"Juju’s Culture Kitchen","Hi Juju’s Culture Kitchen! We built you a FREE website at ekaty.com/restaurants/juju-s-culture-kitchen. Claim it in 2 min to get more customers. -James, eKaty","Quick follow-up - Did you see your FREE profile page? 10K+ people search restaurants in Katy monthly. Claim yours: ekaty.com/restaurants/juju-s-culture-kitchen -James","Last chance Juju’s Culture Kitchen! Your FREE listing expires soon. Takes 2 min to claim: ekaty.com/restaurants/juju-s-culture-kitchen?claim=true Reply STOP to opt out. -James",https://ekaty.com/restaurants/juju-s-culture-kitchen
(786) 202-6235,"Hanamirolls","Hi Hanamirolls! We built you a FREE website at ekaty.com/restaurants/hanamirolls. Claim it in 2 min to get more customers. -James, eKaty","Quick follow-up - Did you see your FREE profile page? 10K+ people search restaurants in Katy monthly. Claim yours: ekaty.com/restaurants/hanamirolls -James","Last chance Hanamirolls! Your FREE listing expires soon. Takes 2 min to claim: ekaty.com/restaurants/hanamirolls?claim=true Reply STOP to opt out. -James",https://ekaty.com/restaurants/hanamirolls
(832) 451-6710,"Local Spot","Hi Local Spot! We built you a FREE website at ekaty.com/restaurants/local-spot. Claim it in 2 min to get more customers. -James, eKaty","Quick follow-up - Did you see your FREE profile page? 10K+ people search restaurants in Katy monthly. Claim yours: ekaty.com/restaurants/local-spot -James","Last chance Local Spot! Your FREE listing expires soon. Takes 2 min to claim: ekaty.com/restaurants/local-spot?claim=true Reply STOP to opt out. -James",https://ekaty.com/restaurants/local-spot
(281) 574-8338,"Asian Too","Hi Asian Too! We built you a FREE website at ekaty.com/restaurants/asian-too. Claim it in 2 min to get more customers. -James, eKaty","Quick follow-up - Did you see your FREE profile page? 10K+ people search restaurants in Katy monthly. Claim yours: ekaty.com/restaurants/asian-too -James","Last chance Asian Too! Your FREE listing expires soon. Takes 2 min to claim: ekaty.com/restaurants/asian-too?claim=true Reply STOP to opt out. -James",https://ekaty.com/restaurants/asian-too
(281) 647-0227,"El Vaquero","Hi El Vaquero! We built you a FREE website at ekaty.com/restaurants/el-vaquero. Claim it in 2 min to get more customers. -James, eKaty","Quick follow-up - Did you see your FREE profile page? 10K+ people search restaurants in Katy monthly. Claim yours: ekaty.com/restaurants/el-vaquero -James","Last chance El Vaquero! Your FREE listing expires soon. Takes 2 min to claim: ekaty.com/restaurants/el-vaquero?claim=true Reply STOP to opt out. -James",https://ekaty.com/restaurants/el-vaquero
(281) 398-8868,"E-Star Chinese Buffet Katy","Hi E-Star Chinese Buffet Katy! We built you a FREE website at ekaty.com/restaurants/e-star-chinese-buffet-katy. Claim it in 2 min to get more customers. -James, eKaty","Quick follow-up - Did you see your FREE profile page? 10K+ people search restaurants in Katy monthly. Claim yours: ekaty.com/restaurants/e-star-chinese-buffet-katy -James","Last chance E-Star Chinese Buffet Katy! Your FREE listing expires soon. Takes 2 min to claim: ekaty.com/restaurants/e-star-chinese-buffet-katy?claim=true Reply STOP to opt out. -James",https://ekaty.com/restaurants/e-star-chinese-buffet-katy
(281) 392-0030,"Pollo Bravo","Hi Pollo Bravo! We built you a FREE website at ekaty.com/restaurants/pollo-bravo. Claim it in 2 min to get more customers. -James, eKaty","Quick follow-up - Did you see your FREE profile page? 10K+ people search restaurants in Katy monthly. Claim yours: ekaty.com/restaurants/pollo-bravo -James","Last chance Pollo Bravo! Your FREE listing expires soon. Takes 2 min to claim: ekaty.com/restaurants/pollo-bravo?claim=true Reply STOP to opt out. -James",https://ekaty.com/restaurants/pollo-bravo
(281) 346-1967,"The Waterside Grill Company","Hi The Waterside Grill Company! We built you a FREE website at ekaty.com/restaurants/the-waterside-grill-company. Claim it in 2 min to get more customers. -James, eKaty","Quick follow-up - Did you see your FREE profile page? 10K+ people search restaurants in Katy monthly. Claim yours: ekaty.com/restaurants/the-waterside-grill-company -James","Last chance The Waterside Grill Company! Your FREE listing expires soon. Takes 2 min to claim: ekaty.com/restaurants/the-waterside-grill-company?claim=true Reply STOP to opt out. -James",https://ekaty.com/restaurants/the-waterside-grill-company
